myneta_id,name,constituency,district,party,age,education,criminal_cases,criminal_details,movable_self,movable_spouse,movable_dependents,movable_total,immovable_self,immovable_spouse,immovable_dependents,immovable_total,total_assets,liabilities,affidavit_url
77,Thalavai Sundaram N.,KANNIYAKUMARI,KANNIYAKUMARI,AIADMK,62,Graduate Professional,1,"183, 186, 189, 448",11570097,0,0,11570097,8400000,0,0,8400000,19970097,784142,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=77
78,Rajesh R,CHEYYUR (SC),CHENGALPATTU,Naam Tamilar Katchi,34,Graduate Professional,0,,107000,83000,0,190000,0,0,0,0,190000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=78
79,Natarajan Krishnamoorthy,CHIDAMBARAM,CUDDALORE,Naam Tamilar Katchi,43,12th Pass,0,,495000,1067000,0,1562000,8500000,0,0,8500000,10062000,2960967,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=79
80,K.A. Pandian,CHIDAMBARAM,CUDDALORE,AIADMK,60,Post Graduate,0,,6403722,14604216,5071666,26079604,12150000,14500000,9500000,36150000,62229604,10432505,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=80
82,G.Iyappan,CUDDALORE,CUDDALORE,DMK,63,Post Graduate,0,,3671351,3589212,0,7260563,12400000,3900000,0,16300000,23560563,7545921,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=82
83,Syedukhan.S.P.M,CUMBUM,THENI,AIADMK,73,12th Pass,0,,3540000,510000,0,4050000,2800000,0,0,2800000,6850000,2500000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=83
84,Prakash.P,CUMBUM,THENI,IND,37,Graduate Professional,1,"417, 495, 506(ii)",138100,491000,357000,986100,0,0,0,0,986100,868917,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=84
85,Ananthi S,DHARAPURAM (SC),TIRUPPUR,IND,36,Post Graduate,0,,1500,0,0,1500,0,0,0,0,1500,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=85
86,Chidambharam V,DHARAPURAM (SC),TIRUPPUR,India Dravida Makkal Munnetra Katchi,58,Post Graduate,0,,108000,54000,0,162000,0,1120000,0,1120000,1282000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=86
87,Jayasundar.R,DINDIGUL,DINDIGUL,Naam Tamilar Katchi,49,Graduate,2,"147, 294(B), 323, 397, 452, 506(1); 143, 341,",260000,1183000,142000,1585000,0,1500000,0,1500000,3085000,2179000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=87
88,Palaniswami K,EDAPPADI,SALEM,AIADMK,67,Graduate,0,,4764542,10411631,5021096,20197269,0,17800000,29040000,46840000,67037269,2975453,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=88
89,Jamuna A,EDAPPADI,SALEM,BSP,25,Graduate,0,,5500,0,0,5500,0,0,0,0,5500,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=89
90,Pookadai Sekar N,EDAPPADI,SALEM,Amma Makkal Munnettra Kazagam,54,10th Pass,3,"147, 188; 143, 269; 143, 188",557509,506000,0,1063509,0,720000,0,720000,1783509,83723,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=90
91,P.Geetha Lakshmi,EGMORE (SC),CHENNAI,Naam Tamilar Katchi,38,Graduate Professional,0,,206500,35000,0,241500,0,0,0,0,241500,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=91
92,"Ketheeswaran, R.",GUDALUR (SC),THE NILGIRIS,Naam Tamilar Katchi,41,12th Pass,2,"143, 188, 341, 353, 506(2)",36500,91500,4333,128433,260000,0,0,260000,388433,12240,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=92
93,Sampathkumar.V,HARUR (SC),DHARMAPURI,AIADMK,46,Graduate Professional,0,,3177900,740953,0,3918853,1511250,1450000,200000,3161250,7080103,1400000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=93
