myneta_id,name,constituency,party,age,education,criminal_cases,criminal_details,movable_total,immovable_total,total_assets,liabilities,affidavit_url
2442,Sivakumar.S,POONAMALLEE (SC),IND,56,Graduate,0,,568000,0,568000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2442
2443,Dhasarathan.R,POONAMALLEE (SC),IND,58,5th Pass,0,,3200930,0,3200930,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2443
2444,Purushothaman.B,POONAMALLEE (SC),IND,56,10th Pass,0,,1478600,1650000,3128600,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2444
2445,Ravikumar.M,POONAMALLEE (SC),IND,37,10th Pass,0,,375300,0,375300,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2445
2446,Velu.S,POONAMALLEE (SC),IND,49,Graduate,0,,6923827,218000,7141827,360000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2446
2447,Dr.Jayanthi.R,POONAMALLEE (SC),IND,50,Doctorate,0,,95000,0,95000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2447
2448,Mahendra Kumar. D,THIRUVOTTIYUR,BSP,46,10th Pass,0,,157500,0,157500,70000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2448
2449,Sasirekha. M,THIRUVOTTIYUR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,55,10th Pass,0,,245000,0,245000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2449
2450,Dilli Kumar. R,THIRUVOTTIYUR,Democratic National Allegiance,41,10th Pass,0,,142114,0,142114,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2450
2451,Venkataramanan. J,THIRUVOTTIYUR,Tamizhaga Vaazhvurimai Katchi,28,Graduate,0,,10000,0,10000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2451
2452,Aravind. R,THIRUVOTTIYUR,IND,32,Graduate,0,,2000,0,2000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2452
2453,Gopi. K,THIRUVOTTIYUR,IND,36,Graduate Professional,0,,1375274,0,1375274,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2453
2454,Thanikasalam. B,THIRUVOTTIYUR,IND,46,Others,0,,10000,0,10000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2454
2455,Balaruban,THIRUVOTTIYUR,IND,32,Graduate Professional,0,,2985668,0,2985668,484000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2455
2456,Michaelraj. M. A,THIRUVOTTIYUR,IND,57,12th Pass,0,,15639624,19800000,35439624,1200000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2456
2457,Vijay. A,THIRUVOTTIYUR,IND,31,12th Pass,0,,723842,0,723842,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2457
